seed,score,steps,deliveries,delayed_goals,run
1,151,148,6,0,1
2,-58,201,6,0,2
3,48,157,6,0,3
4,88,170,6,0,4
5,81,155,6,0,5
6,-50,183,6,0,6
7,13,206,6,0,7
8,113,132,6,0,8
9,-80,211,6,0,9
10,93,164,6,0,10
11,-64,174,6,0,11
12,-195,234,6,0,12
13,102,151,6,0,13
14,-3,169,6,0,14
15,135,137,6,0,15
16,99,144,6,0,16
17,83,170,6,0,17
18,-114,188,6,0,18
19,73,163,6,0,19
20,101,138,6,0,20
21,-201,233,6,0,21
22,-70,190,6,0,22
23,-25,182,6,0,23
24,-74,200,6,0,24
25,89,130,6,0,25
26,91,160,6,0,26
27,131,125,6,0,27
28,87,160,6,0,28
29,32,160,6,0,29
30,88,134,6,0,30
31,69,122,6,0,31
32,-117,209,6,0,32
33,94,140,6,0,33
34,-3,175,6,0,34
35,101,134,6,0,35
36,85,174,6,0,36
37,-43,196,6,0,37
38,-23,184,6,0,38
39,-142,183,6,0,39
40,123,136,6,0,40
